Season,TeamName,de_TOPct,de_ORPct,de_FTRate,o_eFGPct,o_TOPct,o_ORPct,o_FTRate,Tempo,AdjTempo,OE,DE,AdjDE,AdjEM,Off_2,Off_3,Def_2,Def_3,CONF,G,W,2P_D,3P_O,3P_D,WAB,POSTSEASON,SEED
2023,Grand Canyon,15.1257154246989,30.4311774461028,33.1775700934579,52.7946873270614,18.1326347561149,30.1572617946346,36.8566685113448,65.9853,64.9609,108.387,104.17,106.067,5.88121,45.30201342,34.73154362,53.59649123,26.71052632,WAC,33.0,24.0,47.1,37.6,32.3,-3.8,R64,14.0
2023,Houston,21.0906931064486,27.6738967838444,35.7475426797724,52.2923286427599,15.4220483189446,37.1182458888019,28.869723104857,64.8422,63.5389,115.652,88.7213,90.4269,27.7167,52.41877256,30.75812274,44.59078081,33.01975541,Amer,37.0,33.0,43.4,34.0,27.9,8.0,S16,1.0
2023,Howard,20.550041537318,31.9148936170213,33.9572192513369,51.8318965517241,22.9111101394779,33.7272727272727,32.1659482758621,71.2145,69.0052,102.596,102.712,106.873,-3.38282,49.95744681,31.91489362,51.38474648,29.78270132,MEAC,32.0,22.0,51.1,36.9,33.8,-7.3,R64,16.0
2023,Illinois,18.488390885094,26.7441860465116,30.1447776628749,51.3617677286742,18.3591014383451,31.5789473684211,34.2754367934224,69.536,69.4828,105.528,95.9473,94.8894,16.2206,50.81566069,30.7096248,54.7833935,26.66967509,B10,33.0,20.0,45.1,30.8,33.4,0.9,R64,9.0
2023,Indiana,16.2851356487242,28.9755351681957,29.7984644913628,53.5487028879099,16.7849352082758,28.1332164767748,29.4664708761625,68.3688,67.8258,108.714,100.151,97.1974,17.0251,60.70336391,22.93577982,49.00166389,32.8202995,B10,35.0,23.0,45.4,36.8,33.4,3.4,R32,4.0
2023,Iona,20.8066184074457,30.6882591093117,30.9262948207171,51.6619850187266,15.1809720785936,31.5746753246753,28.9794007490637,68.8232,68.6705,110.27,95.1272,99.3505,11.3472,55.11278195,27.85714286,53.89638659,27.03526339,MAAC,35.0,27.0,47.1,36.2,29.7,-1.7,R64,13.0
2023,Iowa,18.2447005921997,27.3788150807899,23.8143289606458,51.6851227732306,13.984735123738,32.1486268174475,32.3062108810785,69.6427,69.4544,113.258,106.018,104.643,15.3869,51.17335352,30.09084027,57.22402597,28.49025974,B10,33.0,19.0,52.5,34.0,36.6,0.3,R64,8.0
2023,Iowa St.,25.0396250922678,26.5326633165829,40.8010012515645,49.9202975557917,19.5464715071268,33.8983050847458,27.8958554729012,65.6871,64.0639,101.997,94.887,91.0402,17.0379,55.84939489,28.37292694,40.54184809,36.57474601,B12,33.0,19.0,49.2,33.1,33.7,2.4,R64,6.0
2023,Kansas,20.2509744552635,28.7121212121212,31.0984308131241,52.6377217553688,17.4590925400719,28.7225386493084,29.8319327731092,70.1771,69.1601,106.633,96.4689,91.7905,22.8456,55.32228361,27.73480663,52.48979592,28.16326531,B12,36.0,28.0,47.2,34.7,31.0,10.1,R32,1.0
2023,Kansas St.,20.959040765528,30.3125,36.280193236715,52.3283725396063,19.293165066974,29.8821548821549,36.0537686029765,70.5105,70.0595,106.065,97.1248,95.0325,18.5088,51.27644055,28.22757112,51.1332008,28.03180915,B12,36.0,26.0,49.2,34.3,30.8,4.2,E8,3.0
2023,Kennesaw St.,19.4542980166432,25.4410399257196,36.8243243243243,52.6893523600439,17.8479798317828,27.3308957952468,35.8946212952799,69.2706,68.3884,104.962,101.284,101.819,4.04337,49.46876328,32.12919677,48.50088183,31.48148148,ASun,32.0,26.0,50.6,36.8,34.5,-1.4,R64,14.0
